iter	Passed	Remaining
0	0	55
1	1	51
2	1	49
3	1	45
4	2	44
5	2	44
6	3	43
7	3	43
8	4	42
9	4	42
10	5	41
11	5	41
12	6	40
13	6	40
14	7	40
15	7	39
16	8	39
17	8	38
18	8	38
19	9	37
20	9	37
21	10	36
22	10	36
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	16	30
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	24
46	21	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	20
55	25	20
56	26	19
57	26	19
58	27	18
59	27	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	13
70	33	13
71	33	13
72	34	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	39	7
83	39	7
84	40	7
85	40	6
86	41	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	46	0
98	46	0
99	47	0
